,BPCY,WYIELD,Modification,Constraints,Biomass_pFBA,Product_pFBA,Glucose_pFBA,FVA_min,FVA_max
24,1.6849457015455611,8.45866275980313,"{'b1380': 8, 'b1849': 32, 'b3640': 16, 'b1131': 4, 'b0722': 0, 'b0474': 2, 'b4388': 0}","{'ACKr': (6.829012532984294, 10000), 'ADSL2r': (0.6565751405467974, 10000), 'ADK1': (1.923343000910192, 10000), 'NDPK2': (0.31178426407809934, 10000), 'NDPK3': (0.13269725606461658, 10000), 'NDPK4': (0.019182866594403127, 10000), 'NDPK1': (0.5791765332764045, 10000), 'PSP_L': (0, 0), 'DUTPDP': (0.15346293275522502, 10000), 'ADNK1': (0.0004933910119251436, 10000), 'LDH_D': (10.207989376191374, 10000), 'ADSL1r': (0.43885261049994895, 10000), 'SUCDi': (0, 0)}",0.19565737559438556,8.61171574251592,-10.0,6.2179504741978535,8.921169236041278
25,1.2822219734097104,8.82405198499145,"{'b1380': 8, 'b2508': 32, 'b1849': 32, 'b3640': 16, 'b1131': 4, 'b0722': 0, 'b3957': 8, 'b0474': 4, 'b4388': 0}","{'ACKr': (6.829012532984294, 10000), 'IMPD': (2.8530522210645772, 10000), 'ADSL2r': (0.6565751405467974, 10000), 'ADK1': (3.846686001820384, 10000), 'NDPK2': (0.6235685281561987, 10000), 'NDPK3': (0.26539451212923315, 10000), 'NDPK4': (0.038365733188806254, 10000), 'ACODA': (0.8674063251076497, 10000), 'NDPK1': (1.158353066552809, 10000), 'PSP_L': (0, 0), 'DUTPDP': (0.15346293275522502, 10000), 'ADNK1': (0.0009867820238502873, 10000), 'LDH_D': (10.207989376191374, 10000), 'ADSL1r': (0.43885261049994895, 10000), 'SUCDi': (0, 0)}",0.14337609205705928,8.943066832226942,-10.0,7.084561073676138,9.21227543410561
27,1.0486401003429149,9.108945530764665,"{'b4388': 0, 'b0722': 0, 'b3640': 32, 'b1131': 8, 'b1849': 16, 'b3941': 2, 'b3957': 8, 'b1380': 8}","{'ACKr': (3.414506266492147, 10000), 'ADSL2r': (1.3131502810935949, 10000), 'ACODA': (0.8674063251076497, 10000), 'PSP_L': (0, 0), 'MTHFR2': (0.11316395722103005, 10000), 'DUTPDP': (0.30692586551045004, 10000), 'LDH_D': (10.207989376191374, 10000), 'ADSL1r': (0.8777052209998979, 10000), 'SUCDi': (0, 0)}",0.11390080495930743,9.206608335362903,-10.0,7.712292350259168,9.388830915437229
28,1.228939876327533,8.945573764510574,"{'b4388': 0, 'b1278': 2, 'b3640': 32, 'b0221': 0.03125, 'b1131': 8, 'b1849': 16, 'b0722': 0, 'b3957': 8, 'b1380': 8}","{'ACKr': (3.414506266492147, 10000), 'ADSL2r': (1.3131502810935949, 10000), 'ACODA': (0.8674063251076497, 10000), 'PSP_L': (0, 0), 'UDCPDP': (0.020371990251672942, 10000), 'DUTPDP': (0.30692586551045004, 10000), 'LDH_D': (10.207989376191374, 10000), 'ADSL1r': (0.8777052209998979, 10000), 'SUCDi': (0, 0), 'ACOAD7f': (-0.001461982449618829, 0), 'ACOAD5f': (-0.004076615743961741, 0), 'ACOAD3f': (-0.004076615743961741, 0), 'ACOAD2f': (-0.004076615743961741, 0), 'ACOAD4f': (-0.004076615743961741, 0), 'ACOAD6f': (-0.0031851395619394898, 0)}",0.1354991942171741,9.069720919209757,-10.0,7.203457611277728,9.285794941245937
29,1.8432161668096805,8.28854763717239,"{'b1380': 8, 'b0221': 0.03125, 'b3640': 16, 'b1849': 16, 'b1131': 4, 'b0722': 0, 'b4388': 0}","{'ACKr': (3.414506266492147, 10000), 'ADSL2r': (0.6565751405467974, 10000), 'PSP_L': (0, 0), 'DUTPDP': (0.15346293275522502, 10000), 'LDH_D': (10.207989376191374, 10000), 'ADSL1r': (0.43885261049994895, 10000), 'SUCDi': (0, 0), 'ACOAD7f': (-0.001461982449618829, 0), 'ACOAD5f': (-0.004076615743961741, 0), 'ACOAD3f': (-0.004076615743961741, 0), 'ACOAD2f': (-0.004076615743961741, 0), 'ACOAD4f': (-0.004076615743961741, 0), 'ACOAD6f': (-0.0031851395619394898, 0)}",0.2175391398832453,8.473032337072596,-10.0,5.647954064482872,8.738150431957239
30,1.2304674113852812,8.883120548066312,"{'b4388': 0, 'b3640': 32, 'b0221': 0.03125, 'b1131': 8, 'b1849': 16, 'b0722': 0, 'b3957': 8, 'b1380': 8}","{'ACKr': (3.414506266492147, 10000), 'ADSL2r': (1.3131502810935949, 10000), 'ACODA': (0.8674063251076497, 10000), 'PSP_L': (0, 0), 'DUTPDP': (0.30692586551045004, 10000), 'LDH_D': (10.207989376191374, 10000), 'ADSL1r': (0.8777052209998979, 10000), 'SUCDi': (0, 0), 'ACOAD7f': (-0.001461982449618829, 0), 'ACOAD5f': (-0.004076615743961741, 0), 'ACOAD3f': (-0.004076615743961741, 0), 'ACOAD2f': (-0.004076615743961741, 0), 'ACOAD4f': (-0.004076615743961741, 0), 'ACOAD6f': (-0.0031851395619394898, 0)}",0.13568450712627278,9.068591819700545,-10.0,7.107578443647149,9.290853326929117
31,1.9450233017792773,8.19471643720647,"{'b4388': 0, 'b0722': 0, 'b3640': 16, 'b1849': 4, 'b1131': 4, 'b2508': 4, 'b0474': 2, 'b1380': 8}","{'ACKr': (0.8536265666230367, 10000), 'IMPD': (0.35663152763307215, 10000), 'ADSL2r': (0.6565751405467974, 10000), 'ADK1': (1.923343000910192, 10000), 'NDPK2': (0.31178426407809934, 10000), 'NDPK3': (0.13269725606461658, 10000), 'NDPK4': (0.019182866594403127, 10000), 'NDPK1': (0.5791765332764045, 10000), 'PSP_L': (0, 0), 'DUTPDP': (0.15346293275522502, 10000), 'ADNK1': (0.0004933910119251436, 10000), 'LDH_D': (10.207989376191374, 10000), 'ADSL1r': (0.43885261049994895, 10000), 'SUCDi': (0, 0)}",0.23207854516329415,8.380883723699991,-10.0,5.54328349976124,8.616543027210502
32,2.286109795299076,7.515261527703999,"{'b4388': 0.5, 'b0221': 0.03125, 'b1849': 16, 'b0722': 0, 'b0474': 2}","{'ACKr': (3.414506266492147, 10000), 'ADK1': (1.923343000910192, 10000), 'NDPK2': (0.31178426407809934, 10000), 'NDPK3': (0.13269725606461658, 10000), 'NDPK4': (0.019182866594403127, 10000), 'NDPK1': (0.5791765332764045, 10000), 'PSP_L': (0, 0.3150702995360441), 'ADNK1': (0.0004933910119251436, 10000), 'SUCDi': (0, 0), 'ACOAD7f': (-0.001461982449618829, 0), 'ACOAD5f': (-0.004076615743961741, 0), 'ACOAD3f': (-0.004076615743961741, 0), 'ACOAD2f': (-0.004076615743961741, 0), 'ACOAD4f': (-0.004076615743961741, 0), 'ACOAD6f': (-0.0031851395619394898, 0)}",0.2948915064442345,7.752375858040068,-10.0,4.040268856249343,8.091176201078065
35,2.07328136160321,7.937579125902258,"{'b1849': 32, 'b1380': 8, 'b3640': 16, 'b0722': 0, 'b4388': 0.25, 'b0221': 0.03125}","{'ACKr': (6.829012532984294, 10000), 'PSP_L': (0, 0.15753514976802205), 'DUTPDP': (0.15346293275522502, 10000), 'LDH_D': (10.207989376191374, 10000), 'SUCDi': (0, 0), 'ACOAD7f': (-0.001461982449618829, 0), 'ACOAD5f': (-0.004076615743961741, 0), 'ACOAD3f': (-0.004076615743961741, 0), 'ACOAD2f': (-0.004076615743961741, 0), 'ACOAD4f': (-0.004076615743961741, 0), 'ACOAD6f': (-0.0031851395619394898, 0)}",0.25397456930358325,8.163342366530628,-10.0,4.733818985095506,8.433404953906614
36,2.0865188277099347,7.860058367609306,"{'b1380': 8, 'b0221': 0.03125, 'b1131': 2, 'b1849': 16, 'b0722': 0.03125, 'b4388': 0}","{'ACKr': (3.414506266492147, 10000), 'ADSL2r': (0.3282875702733987, 10000), 'PSP_L': (0, 0), 'LDH_D': (10.207989376191374, 10000), 'ADSL1r': (0.21942630524997447, 10000), 'SUCDi': (0, 0.12511098860613198), 'ACOAD7f': (-0.001461982449618829, 0), 'ACOAD5f': (-0.004076615743961741, 0), 'ACOAD3f': (-0.004076615743961741, 0), 'ACOAD2f': (-0.004076615743961741, 0), 'ACOAD4f': (-0.004076615743961741, 0), 'ACOAD6f': (-0.0031851395619394898, 0)}",0.2582639723947885,8.07901624203492,-10.0,4.720468505398049,8.397528439854874
